,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,ENBEmissions,LPEmissions,ENBValueOfTravel,LPEValueOfTravel,Optimal
0,As-is,Conference,Low,High,Low,Yes,1.19707,0.0,2.97602,0.0,Yes
1,Carbon tax/flight,Workshop,High,High,High,Yes,0.18327,0.0,0.43857,0.0,No
2,Carbon tax/distance,Workshop,Low,High,Medium,No,-1.5792,0.0,0.43857,0.0,No
3,As-is,Meetings,Medium,Low,Low,Yes,1.19707,0.0,0.43857,0.0,No
4,Cap distance,Workshop,Low,Low,Low,Yes,0.19886,0.0,0.43857,0.0,No
5,As-is,Meetings,High,High,Medium,No,1.19707,0.0,0.43857,0.0,No
6,As-is,Conference,Medium,Low,High,Yes,1.19707,0.0,0.43857,0.0,No
7,Carbon tax/flight,Conference,Medium,Medium,High,Yes,0.18327,0.0,0.43857,0.0,No
8,Cap distance,Workshop,High,Low,Low,No,0.19886,0.0,-2.09888,0.0,No
9,Carbon tax/flight,Meetings,Medium,Medium,Low,Yes,0.18327,0.0,0.43857,0.0,No
10,Cap distance,Conference,Low,Medium,Medium,No,0.19886,0.0,0.43857,0.0,No
11,Carbon tax/flight,Workshop,Low,Low,Medium,No,0.18327,0.0,-2.09888,0.0,No
12,Cap distance,Meetings,Low,Medium,High,Yes,0.19886,0.0,0.43857,0.0,No
13,Cap distance,Meetings,High,High,High,Yes,0.19886,0.0,0.43857,0.0,No
14,As-is,Workshop,High,High,Low,Yes,1.19707,0.0,0.43857,0.0,No
15,Cap distance,Meetings,Low,Low,Medium,No,0.19886,0.0,0.43857,0.0,No
16,Carbon tax/flight,Conference,Medium,Low,Medium,No,0.18327,0.0,-2.09888,0.0,No
17,Carbon tax/distance,Workshop,Medium,Low,Low,No,-1.5792,0.0,-2.09888,0.0,No
18,Carbon tax/flight,Conference,Low,Low,Low,No,0.18327,0.0,0.43857,0.0,No
19,Cap distance,Conference,High,Low,Medium,Yes,0.19886,0.0,0.43857,0.0,No
20,Carbon tax/distance,Conference,High,Low,Low,No,-1.5792,0.0,0.43857,0.0,No
21,Cap distance,Workshop,Medium,Low,Medium,Yes,0.19886,0.0,-2.09888,0.0,No
22,As-is,Meetings,Low,Medium,Medium,No,1.19707,0.0,0.43857,0.0,No
23,Carbon tax/distance,Conference,Medium,High,Medium,No,-1.5792,0.0,0.43857,0.0,No
24,Carbon tax/flight,Workshop,Low,Medium,High,Yes,0.18327,0.0,0.43857,0.0,No
25,Carbon tax/distance,Conference,Low,High,Low,No,-1.5792,0.0,0.43857,0.0,No
26,Carbon tax/distance,Workshop,High,Low,Low,Yes,-1.5792,0.0,0.43857,0.0,No
27,Cap distance,Conference,High,High,Medium,No,0.19886,0.0,0.43857,0.0,No
28,Cap distance,Conference,Medium,Low,Low,Yes,0.19886,0.0,0.43857,0.0,No
29,Carbon tax/distance,Conference,Low,Medium,Medium,Yes,-1.5792,0.0,0.43857,0.0,No
30,As-is,Meetings,High,Low,Medium,Yes,1.19707,0.0,0.43857,0.0,No
31,As-is,Workshop,High,Medium,Low,No,1.19707,0.0,0.43857,0.0,No
32,Carbon tax/distance,Meetings,Medium,High,High,Yes,-1.5792,0.0,0.43857,0.0,No
33,As-is,Workshop,High,Low,High,No,1.19707,0.0,-2.09888,0.0,No
34,Cap distance,Workshop,Medium,High,Medium,No,0.19886,0.0,0.43857,0.0,No
35,As-is,Conference,Low,Medium,High,Yes,1.19707,0.0,0.43857,0.0,No
36,Cap distance,Workshop,Low,High,Low,No,0.19886,0.0,0.43857,0.0,No
37,Carbon tax/distance,Meetings,High,Medium,High,Yes,-1.5792,0.0,0.43857,0.0,No
38,As-is,Conference,High,Medium,Medium,Yes,1.19707,0.0,0.43857,0.0,No
39,As-is,Meetings,Medium,Medium,Medium,Yes,1.19707,0.0,0.43857,0.0,No
40,Cap distance,Workshop,Low,Medium,Medium,Yes,0.19886,0.0,0.43857,0.0,No
41,As-is,Meetings,Low,Medium,Low,Yes,1.19707,0.0,0.43857,0.0,No
42,As-is,Meetings,High,Low,High,No,1.19707,0.0,-2.09888,0.0,No
43,Carbon tax/flight,Conference,High,Low,Medium,Yes,0.18327,0.0,0.43857,0.0,No
